MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.4886;0.0398;0.0771;2;1.0000;0.5500;complete;24.2998;sigmoid
0.4943;0.0397;0.0868;2;1.0000;0.5500;average;24.4843;sigmoid
0.4562;0.0400;0.0351;2;1.0000;0.5500;single;24.0698;sigmoid
0.4585;0.0400;0.0241;2;1.0000;0.5500;complete;24.1315;relu
0.4121;0.0402;0.0149;2;1.0000;0.5500;average;24.1783;relu
0.4785;0.0400;0.0222;2;1.0000;0.5500;single;24.0004;relu
0.5975;0.0396;0.0820;2;1.0000;0.7500;complete;24.2545;sigmoid
0.4895;0.0400;0.0609;2;1.0000;0.7500;average;24.4592;sigmoid
0.5619;0.0397;0.0715;2;1.0000;0.7500;single;24.1253;sigmoid
0.5782;0.0397;0.0492;2;1.0000;0.7500;complete;24.2962;relu
0.5896;0.0397;0.0502;2;1.0000;0.7500;average;24.0898;relu
0.6206;0.0396;0.0949;2;1.0000;0.7500;single;24.0961;relu
0.6919;0.0393;0.1072;2;1.0000;0.9500;complete;24.2804;sigmoid
0.6984;0.0396;0.0835;2;1.0000;0.9500;average;24.3561;sigmoid
0.6996;0.0395;0.0885;2;1.0000;0.9500;single;23.8804;sigmoid
0.7287;0.0394;0.0733;2;1.0000;0.9500;complete;24.1973;relu
0.7358;0.0395;0.0774;2;1.0000;0.9500;average;24.3218;relu
0.7425;0.0393;0.1313;2;1.0000;0.9500;single;24.1078;relu
0.6934;0.0394;0.0989;2;1.0000;0.9950;complete;24.1866;sigmoid
0.7062;0.0396;0.0649;2;1.0000;0.9950;average;24.3655;sigmoid
0.7342;0.0394;0.0977;2;1.0000;0.9950;single;24.0748;sigmoid
0.7177;0.0394;0.0951;2;1.0000;0.9950;complete;24.1940;relu
0.6927;0.0396;0.0513;2;1.0000;0.9950;average;24.2354;relu
0.7187;0.0396;0.0492;2;1.0000;0.9950;single;24.0015;relu
0.4360;0.0398;0.0920;2;10.0000;0.5000;complete;7.2420;sigmoid
0.3994;0.0400;0.0404;2;10.0000;0.5000;average;7.1799;sigmoid
0.4306;0.0399;0.0633;2;10.0000;0.5000;single;7.2382;sigmoid
0.5165;0.0395;0.1192;2;10.0000;0.5000;complete;7.2163;relu
0.4580;0.0398;0.0487;2;10.0000;0.5000;average;7.0916;relu
0.4332;0.0398;0.0560;2;10.0000;0.5000;single;7.0697;relu
0.4336;0.0399;0.0909;2;10.0000;0.5500;complete;24.1735;sigmoid
0.4356;0.0399;0.0475;2;10.0000;0.5500;average;24.0968;sigmoid
0.4320;0.0398;0.0667;2;10.0000;0.5500;single;24.0631;sigmoid
0.5028;0.0394;0.1031;2;10.0000;0.5500;complete;24.1660;relu
0.3728;0.0400;0.0368;2;10.0000;0.5500;average;24.1315;relu
0.3735;0.0399;0.0651;2;10.0000;0.5500;single;23.9491;relu
0.5968;0.0395;0.1029;2;10.0000;0.7500;complete;24.4617;sigmoid
0.5525;0.0396;0.0747;2;10.0000;0.7500;average;24.3108;sigmoid
0.5063;0.0397;0.0539;2;10.0000;0.7500;single;24.2560;sigmoid
0.5981;0.0393;0.1312;2;10.0000;0.7500;complete;24.0415;relu
0.5099;0.0398;0.0337;2;10.0000;0.7500;average;24.2103;relu
0.5584;0.0395;0.0784;2;10.0000;0.7500;single;24.0044;relu
0.6977;0.0395;0.0909;2;10.0000;0.9500;complete;24.4109;sigmoid
0.6095;0.0397;0.0506;2;10.0000;0.9500;average;24.2986;sigmoid
0.7006;0.0394;0.0962;2;10.0000;0.9500;single;24.2574;sigmoid
